Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Pakistan,PAK,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.035075967
Pakistan,PAK,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.430693964
Pakistan,PAK,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.099502422
Pakistan,PAK,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.434731851
Pakistan,PAK,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.847498785
Pakistan,PAK,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.570919393
Pakistan,PAK,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.729100789
Pakistan,PAK,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.208699194
Pakistan,PAK,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.749418723
Pakistan,PAK,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.287395484
Pakistan,PAK,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.258572744
Pakistan,PAK,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.317708711
Pakistan,PAK,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.724789215
Pakistan,PAK,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.27925468
Pakistan,PAK,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.277398347
Pakistan,PAK,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.413075554
Pakistan,PAK,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.255288194
Pakistan,PAK,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.018687737
Pakistan,PAK,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.692209008
Pakistan,PAK,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.359366933
Pakistan,PAK,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.661503894
Pakistan,PAK,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.860823459
Pakistan,PAK,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.646560286
Pakistan,PAK,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.90749241
Pakistan,PAK,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.251672179
